pokemon,habilidades
Bulbasaur,"Overgrow,Chlorophyll"
Growlithe,"Intimidate,Flash Fire,Justified,Intimidate,Flash Fire,Rock Head"
Primeape,"Vital Spirit,Anger Point,Defiant"
Mankey,"Vital Spirit,Anger Point,Defiant"
Golduck,"Damp,Cloud Nine,Swift Swim"
Psyduck,"Damp,Cloud Nine,Swift Swim"
Persian,"Limber,Technician,Unnerve,Fur Coat,Technician,Rattled"
Meowth,"Pickup,Technician,Unnerve,Pickup,Technician,Rattled,Pickup,Tough Claws,Unnerve"
Dugtrio,"Sand Veil,Arena Trap,Sand Force,Sand Veil,Tangling Hair,Sand Force"
Diglett,"Sand Veil,Arena Trap,Sand Force,Sand Veil,Tangling Hair,Sand Force"
Venomoth,"Shield Dust,Tinted Lens,Wonder Skin"
Venonat,"Compound Eyes,Tinted Lens,Run Away"
Parasect,"Effect Spore,Dry Skin,Damp"
Paras,"Effect Spore,Dry Skin,Damp"
Vileplume,"Chlorophyll,Effect Spore"
Gloom,"Chlorophyll,Stench"
Pecharunt,Poison Puppeteer
Terapagos,"Tera Shift,Tera Shell,Teraform Zero"
Iron Crown,Quark Drive
Iron Boulder,Quark Drive
Raging Bolt,Protosynthesis
Gouging Fire,Protosynthesis
Hydrapple,"Supersweet Syrup,Regenerator,Sticky Hold"
Archaludon,"Stamina,Sturdy,Stalwart"
Ogerpon,"Defiant,Embody Aspect,Water Absorb,Embody Aspect,Mold Breaker,Embody Aspect,Sturdy,Embody Aspect"
Fezandipiti,"Toxic Chain,Technician"
Munkidori,"Toxic Chain,Frisk"
Okidogi,"Toxic Chain,Guard Dog"
Sinistcha,"Hospitality,Heatproof"
Poltchageist,"Hospitality,Heatproof"
Dipplin,"Supersweet Syrup,Gluttony,Sticky Hold"
Iron Leaves,Quark Drive
Walking Wake,Protosynthesis
Miraidon,Hadron Engine
Koraidon,Orichalcum Pulse
Iron Valiant,Quark Drive
Roaring Moon,Protosynthesis
Chi-Yu,Beads of Ruin
Ting-Lu,Vessel of Ruin
Chien-Pao,Sword of Ruin
Wo-Chien,Tablets of Ruin
Gholdengo,Good as Gold
Gimmighoul,"Rattled,Run Away"
Baxcalibur,"Thermal Exchange,Ice Body"
Arctibax,"Thermal Exchange,Ice Body"
Frigibax,"Thermal Exchange,Ice Body"
Iron Thorns,Quark Drive
Iron Moth,Quark Drive
Iron Jugulis,Quark Drive
Iron Hands,Quark Drive
Iron Bundle,Quark Drive
Iron Treads,Quark Drive
Sandy Shocks,Protosynthesis
Slither Wing,Protosynthesis
Flutter Mane,Protosynthesis
Brute Bonnet,Protosynthesis
Scream Tail,Protosynthesis
Great Tusk,Protosynthesis
Kingambit,"Defiant,Supreme Overlord,Pressure"
Dudunsparce,"Serene Grace,Run Away,Rattled,Serene Grace,Run Away,Rattled"
Farigiraf,"Cud Chew,Armor Tail,Sap Sipper"
Clodsire,"Poison Point,Water Absorb,Unaware"
Annihilape,"Vital Spirit,Inner Focus,Defiant"
Tatsugiri,"Commander,Storm Drain"
Dondozo,"Unaware,Oblivious,Water Veil"
Veluza,"Mold Breaker,Sharpness"
Cetitan,"Thick Fat,Slush Rush,Sheer Force"
Cetoddle,"Thick Fat,Snow Cloak,Sheer Force"
Flamigo,"Scrappy,Tangled Feet,Costar"
Houndstone,"Sand Rush,Fluffy"
Greavard,"Pickup,Fluffy"
Glimmora,"Toxic Debris,Corrosion"
Glimmet,"Toxic Debris,Corrosion"
Orthworm,"Earth Eater,Sand Veil"
Cyclizar,"Shed Skin,Regenerator"
Revavroom,"Overcoat,Filter"
Varoom,"Overcoat,Slow Start"
Palafin,"Zero to Hero,Zero to Hero"
Finizen,Water Veil
Bombirdier,"Big Pecks,Keen Eye,Rocky Payload"
Wugtrio,"Gooey,Rattled,Sand Veil"
Wiglett,"Gooey,Rattled,Sand Veil"
Tinkaton,"Mold Breaker,Own Tempo,Pickpocket"
Tinkatuff,"Mold Breaker,Own Tempo,Pickpocket"
Tinkatink,"Mold Breaker,Own Tempo,Pickpocket"
Espathra,"Opportunist,Frisk,Speed Boost"
Flittle,"Anticipation,Frisk,Speed Boost"
Rabsca,"Synchronize,Telepathy"
Rellor,"Compound Eyes,Shed Skin"
Scovillain,"Chlorophyll,Insomnia,Moody"
Capsakid,"Chlorophyll,Insomnia,Klutz"
Klawf,"Anger Shell,Shell Armor,Regenerator"
Toedscruel,Mycelium Might
Toedscool,Mycelium Might
Brambleghast,"Wind Rider,Infiltrator"
Bramblin,"Wind Rider,Infiltrator"
Grafaiai,"Unburden,Poison Touch,Prankster"
Shroodle,"Unburden,Pickpocket,Prankster"
Mabosstiff,"Intimidate,Guard Dog,Stakeout"
Maschiff,"Intimidate,Run Away,Stakeout"
Kilowattrel,"Wind Power,Volt Absorb,Competitive"
Wattrel,"Wind Power,Volt Absorb,Competitive"
Bellibolt,"Electromorphosis,Static,Damp"
Tadbulb,"Own Tempo,Static,Damp"
Ceruledge,"Flash Fire,Weak Armor"
Armarouge,"Flash Fire,Weak Armor"
Charcadet,"Flash Fire,Flame Body"
Garganacl,"Purifying Salt,Sturdy,Clear Body"
Naclstack,"Purifying Salt,Sturdy,Clear Body"
Nacli,"Purifying Salt,Sturdy,Clear Body"
Squawkabilly,"Intimidate,Hustle,Guts,Intimidate,Hustle,Guts,Intimidate,Hustle,Sheer Force,Intimidate,Hustle,Sheer Force"
Arboliva,"Seed Sower,Harvest"
Dolliv,"Early Bird,Harvest"
Smoliv,"Early Bird,Harvest"
Dachsbun,"Well-Baked Body,Aroma Veil"
Fidough,"Own Tempo,Klutz"
Maushold,"Friend Guard,Cheek Pouch,Technician,Friend Guard,Cheek Pouch,Technician"
Tandemaus,"Run Away,Pickup,Own Tempo"
Pawmot,"Volt Absorb,Natural Cure,Iron Fist"
Pawmo,"Volt Absorb,Natural Cure,Iron Fist"
Pawmi,"Static,Natural Cure,Iron Fist"
Lokix,"Swarm,Tinted Lens"
Nymble,"Swarm,Tinted Lens"
Spidops,"Insomnia,Stakeout"
Tarountula,"Insomnia,Stakeout"
